Unit ID,Ofcom Product,Region,Country,Urb Rural,Distance from Exchange,Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
48572,BT 52,South West,England,Rural,0 to 99m,FTTC,B,50.40,45.70,51.29,50.04,46.18,51.19,9.29,8.87,9.37,9.29,8.67,9.39,0.00%,0.00%,9.30,9.36,0.19,0.18,0.37,0.57,8.36,8.66,0.04%,0.04%,116.68,118.68,0.10,1.62%,67.12%,31.27%,0.00%,683.50,3.23%,64.52%,32.26%,0.00%,715.05,100.00%,0.00%,0.00%,0.00%,706.88,100.00%,0.00%,0.00%,0.00%,719.70,0.00%,100.00%,0.00%,0.00%,593.95,0.00%,100.00%,0.00%,0.00%,618.79
821167,BT 20,London,England,Urban,0 to 99m,ADSL,B,14.83,13.69,14.99,14.82,14.16,14.98,0.58,0.46,0.64,0.58,0.35,0.65,0.01%,0.02%,12.21,12.45,1.63,0.78,0.37,0.37,5.16,5.19,0.23%,0.26%,329.71,326.27,0.13,1.78%,66.77%,31.45%,0.00%,714.63,3.47%,62.43%,34.10%,0.00%,706.13,0.00%,100.00%,0.00%,0.00%,1185.41,0.00%,100.00%,0.00%,0.00%,1190.77,0.00%,100.00%,0.00%,0.00%,1510.29,0.00%,100.00%,0.00%,0.00%,1587.51
660114,BT 76,West Midlands,England,Semi-urban,0 to 99m,FTTC,B,69.43,63.95,70.96,69.51,66.56,70.77,18.55,17.84,18.59,18.54,17.55,18.61,0.01%,0.00%,12.49,12.57,0.24,0.24,0.26,0.28,10.95,10.94,0.00%,0.00%,178.45,202.68,0.00,1.62%,67.12%,31.27%,0.00%,719.56,2.70%,64.86%,32.43%,0.00%,733.59,100.00%,0.00%,0.00%,0.00%,636.73,100.00%,0.00%,0.00%,0.00%,677.97,0.00%,100.00%,0.00%,0.00%,744.67,0.00%,100.00%,0.00%,0.00%,773.79
30607,Sky 76,South West,England,Rural,0 to 99m,FTTC,B,74.58,73.10,74.71,74.59,74.06,74.71,18.67,18.56,18.69,18.67,18.45,18.70,0.00%,0.00%,13.20,12.92,0.19,0.19,0.22,0.23,13.95,13.97,0.01%,0.00%,154.07,153.82,0.00,1.66%,66.76%,31.58%,0.00%,802.32,3.33%,63.33%,33.33%,0.00%,841.95,99.44%,0.28%,0.28%,0.00%,1202.89,98.89%,0.56%,0.56%,0.00%,1425.12,0.00%,100.00%,0.00%,0.00%,611.22,0.00%,100.00%,0.00%,0.00%,621.15
947230,BT 20,London,England,Rural,0 to 99m,ADSL,B,9.62,8.99,10.22,9.58,9.07,10.17,0.94,0.89,0.97,0.93,0.77,1.04,0.00%,0.00%,15.55,15.56,0.57,0.59,0.57,0.66,15.65,15.82,0.60%,0.81%,442.74,442.31,4.10,1.22%,69.51%,29.27%,0.00%,855.52,4.55%,63.64%,31.82%,0.00%,840.85,0.00%,100.00%,0.00%,0.00%,1739.48,0.00%,100.00%,0.00%,0.00%,1736.31,0.00%,100.00%,0.00%,0.00%,1295.95,0.00%,100.00%,0.00%,0.00%,1363.44
821279,BT 20,Yorkshire and The Humber,England,Urban,0 to 99m,ADSL,B,19.59,19.20,19.63,19.59,19.21,19.62,0.88,0.80,0.90,0.88,0.75,0.90,0.01%,0.03%,19.90,19.73,0.38,0.38,0.29,0.30,12.91,12.92,0.02%,0.01%,258.45,255.55,0.09,0.00%,82.95%,17.05%,0.00%,684.93,0.00%,81.97%,18.03%,0.00%,679.56,99.61%,0.39%,0.00%,0.00%,1858.37,99.16%,0.84%,0.00%,0.00%,1855.07,0.00%,100.00%,0.00%,0.00%,1275.93,0.00%,100.00%,0.00%,0.00%,1234.25
813457,Plusnet 38x10,East,England,Rural,0 to 99m,FTTC,B,36.83,34.70,37.16,36.69,34.98,37.15,9.24,8.81,9.29,9.24,8.80,9.30,0.01%,0.03%,15.84,15.78,0.44,0.44,0.28,0.30,7.13,7.16,0.04%,0.00%,149.81,154.87,0.06,1.11%,69.74%,29.15%,0.00%,688.57,2.22%,69.63%,28.15%,0.00%,709.99,100.00%,0.00%,0.00%,0.00%,909.58,100.00%,0.00%,0.00%,0.00%,933.63,0.00%,100.00%,0.00%,0.00%,1013.59,0.00%,100.00%,0.00%,0.00%,1027.08
947164,BT 76,Scotland,Scotland,Rural,0 to 99m,FTTC,B,73.73,69.00,74.34,73.46,70.32,74.29,18.56,18.00,18.58,18.56,18.32,18.58,0.09%,0.00%,27.23,27.37,0.14,0.13,0.34,0.37,27.26,27.26,0.02%,0.00%,238.71,239.48,0.19,1.63%,67.21%,31.17%,0.00%,413.04,3.23%,64.52%,32.26%,0.00%,426.69,100.00%,0.00%,0.00%,0.00%,655.15,100.00%,0.00%,0.00%,0.00%,682.40,0.00%,100.00%,0.00%,0.00%,605.59,0.00%,100.00%,0.00%,0.00%,612.68
814851,BT 76,London,England,Urban,0 to 99m,FTTC,B,57.74,54.15,58.76,57.49,54.61,58.62,17.59,16.50,17.66,17.57,16.27,18.08,0.00%,0.00%,15.43,15.45,0.30,0.30,0.40,0.51,5.89,6.00,0.03%,0.07%,130.26,130.39,0.16,2.00%,67.43%,30.57%,0.00%,722.06,3.35%,65.36%,31.28%,0.00%,752.24,100.00%,0.00%,0.00%,0.00%,590.00,100.00%,0.00%,0.00%,0.00%,610.21,0.00%,100.00%,0.00%,0.00%,895.08,0.00%,100.00%,0.00%,0.00%,905.44
2374,BT 76,Yorkshire and The Humber,England,Rural,0 to 99m,FTTC,B,55.24,49.11,56.18,54.90,51.29,56.14,8.63,8.15,8.70,8.61,8.07,8.87,0.00%,0.00%,10.30,10.42,0.27,0.29,0.44,0.54,9.59,9.77,0.01%,0.05%,119.35,119.43,0.05,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,667.70,100.00%,0.00%,0.00%,0.00%,706.30,,,,,,,,,,
821283,TalkTalk 17,West Midlands,England,Urban,0 to 99m,ADSL,B,19.57,19.15,19.62,19.58,19.39,19.62,0.85,0.81,0.86,0.84,0.76,0.86,0.00%,0.00%,16.95,17.10,0.80,0.80,0.35,0.35,25.23,25.28,0.06%,0.13%,735.00,766.38,0.07,1.89%,74.62%,23.48%,0.00%,691.71,3.36%,69.13%,27.52%,0.00%,722.33,100.00%,0.00%,0.00%,0.00%,1828.87,100.00%,0.00%,0.00%,0.00%,1829.20,0.00%,100.00%,0.00%,0.00%,847.82,0.00%,100.00%,0.00%,0.00%,852.43
202366,Virgin 50,West Midlands,England,Urban,0 to 99m,Cable,B,52.02,45.88,52.50,51.73,46.33,52.45,3.05,2.58,3.10,3.02,0.46,3.10,0.04%,0.03%,12.79,13.08,2.56,2.87,0.26,0.31,17.65,17.94,0.01%,0.00%,221.90,223.06,0.03,1.56%,64.80%,33.64%,0.00%,695.59,3.01%,62.05%,34.94%,0.00%,725.69,98.33%,1.67%,0.00%,0.00%,1056.24,97.67%,2.33%,0.00%,0.00%,1189.90,0.00%,100.00%,0.00%,0.00%,825.61,0.00%,100.00%,0.00%,0.00%,957.68
814827,BT 52,Yorkshire and The Humber,England,Semi-urban,0 to 99m,FTTC,B,48.94,42.55,51.29,47.85,43.43,50.46,9.23,9.07,9.29,9.21,8.91,9.28,0.01%,0.00%,11.52,11.65,0.22,0.22,0.40,0.70,10.94,11.19,0.07%,0.02%,128.71,132.86,0.06,1.79%,65.97%,32.24%,0.00%,689.59,3.27%,62.09%,34.64%,0.00%,714.29,100.00%,0.00%,0.00%,0.00%,738.85,100.00%,0.00%,0.00%,0.00%,776.56,0.00%,100.00%,0.00%,0.00%,599.91,0.00%,100.00%,0.00%,0.00%,605.70
821239,Plusnet 17,North East,England,Urban,0 to 99m,ADSL,B,18.87,16.94,19.50,18.78,16.96,19.48,1.00,0.93,1.03,1.00,0.87,1.03,0.19%,0.39%,17.73,17.96,1.23,1.49,1.11,1.33,15.92,16.43,0.08%,0.01%,273.30,272.63,0.00,2.78%,63.89%,33.33%,0.00%,916.92,12.50%,37.50%,50.00%,0.00%,1071.97,97.30%,2.70%,0.00%,0.00%,1926.46,87.50%,12.50%,0.00%,0.00%,2035.95,0.00%,100.00%,0.00%,0.00%,1828.00,0.00%,100.00%,0.00%,0.00%,1388.11
2518,BT 38,South West,England,Semi-urban,0 to 99m,FTTC,B,22.57,22.13,22.63,22.54,22.33,22.62,3.05,2.98,3.06,3.05,2.93,3.19,0.02%,0.00%,9.54,9.63,0.39,0.39,0.23,0.27,8.79,8.88,0.04%,0.00%,186.40,186.49,0.13,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,1442.54,100.00%,0.00%,0.00%,0.00%,1444.77,,,,,,,,,,
814755,Sky 38,London,England,Urban,0 to 99m,FTTC,B,36.59,32.34,37.37,36.67,33.92,37.36,8.49,8.20,8.54,8.49,7.96,8.56,0.01%,0.00%,10.25,10.09,0.23,0.23,0.48,0.49,6.91,6.92,0.03%,0.01%,217.41,217.16,0.03,1.36%,67.39%,31.25%,0.00%,716.30,2.69%,65.05%,32.26%,0.00%,734.15,98.62%,1.38%,0.00%,0.00%,1501.60,97.79%,2.21%,0.00%,0.00%,1684.73,0.00%,100.00%,0.00%,0.00%,698.51,0.00%,100.00%,0.00%,0.00%,673.12
